Name,Pos,team,$,YDiff,Diff,FPs,Avg,#Own,FP/$,#Gm,#HG,#AG,ARnk,Wed 01/13,Thu 01/14,Fri 01/15,Sat 01/16,Sun 01/17,Mon 01/18,Gp,G,A,P,+/-,Pim,Sht,H,Blk,Gwg,Otg,Ppg,Shg,Toi,PPToi,Ga,Sv%,Sv,Win,Loss,Otl,So
A Thomas,C,LAK,0.50,0.00,0.00,166,23.7,0,47.4,2,2,0,29,,MIN,,MIN,,,7,3,1,4,0,2,9,8,3,1,0,0,0,08:44,00:00,0,0,0,0,3,0,0
M Stephens,C,MTL,0.50,0.00,0.00,165,7.2,0,14.3,3,0,3,10,@TOR,,,@EDM,,@EDM,23,2,1,3,2,4,16,6,7,0,0,0,0,09:03,00:01,0,0,0,0,9,0,0
B McGinn,W,ANA,0.50,0.00,-2.07,161,6.7,0,13.4,3,1,2,14,,@VGK,,@VGK,,MIN,24,1,2,3,-5,4,24,27,11,0,0,0,0,11:05,00:03,0,0,0,0,17,0,0
T Hall,W,CHI,1.56,0.00,-2.02,160,16.0,2,10.3,3,0,3,14,@TBL,,@TBL,,@FLA,,10,2,2,4,-3,4,20,6,3,1,0,0,0,16:20,03:34,0,0,0,0,6,0,0
A Richard,C,BOS,0.50,0.00,0.00,159,17.7,0,35.3,3,0,3,25,,@NJD,,@NJD,,@NYI,9,1,2,3,0,2,6,28,5,0,0,0,0,10:36,00:00,0,0,0,0,2,0,0
J Klingberg,D,TOR,1.57,0.00,-1.60,157,11.2,2,7.1,4,2,2,24,MTL,,@OTT,@OTT,,WPG,14,0,5,5,-7,8,14,11,14,0,0,0,0,20:33,03:24,0,0,0,0,5,0,0
J Pelletier,W,CAL,0.50,0.00,0.00,157,12.1,0,24.2,3,2,1,13,,@WPG,,VAN,,VAN,13,1,2,3,1,2,9,10,4,1,0,0,0,09:16,00:01,0,0,0,0,5,0,0
M Benning,D,SJS,0.50,0.00,-0.73,156,11.1,0,22.3,3,0,3,13,,@ARI,,@ARI,,@STL,14,0,2,2,-5,14,13,15,29,0,0,0,0,18:29,00:00,0,0,0,0,9,0,0
W Merela,C,TBL,0.50,0.00,0.00,155,8.2,2,16.3,2,2,0,26,CHI,,CHI,,,,19,1,0,1,2,4,17,26,6,0,0,0,0,09:49,00:01,0,0,0,0,7,0,0
A Edstrom,C,NYR,0.50,0.00,0.00,154,14.0,1,28.0,2,2,0,18,,NYI,,NYI,,,11,2,0,2,2,2,7,30,2,0,0,0,0,08:25,00:01,0,0,0,0,2,0,0
H Shepard,G,WSH,0.50,0.00,0.00,150,37.5,6,75.0,3,0,3,6,,@BUF,@BUF,,@PIT,,4,0,0,0,0,0,0,0,0,0,0,0,0,01:01:13,00:00,13,89.4,110,2,1,1,0
J Topping,W,CBJ,0.50,0.00,0.00,149,13.5,0,27.1,3,0,3,16,,@NSH,,@NSH,,@DET,11,2,1,3,0,2,17,11,6,0,0,0,0,10:59,00:09,0,0,0,0,8,0,0
B Meyers,C,ANA,0.50,0.00,0.00,149,6.5,0,13.0,3,1,2,14,,@VGK,,@VGK,,MIN,23,1,2,3,-4,6,12,32,4,0,0,0,0,10:07,00:00,0,0,0,0,12,0,0
M Crozier,D,TBL,0.50,0.00,0.00,147,9.2,0,18.4,2,2,0,26,CHI,,CHI,,,,16,0,2,2,-3,9,17,20,13,0,0,0,0,13:11,00:00,0,0,0,0,4,0,0
D McIlrath,D,WSH,0.51,0.00,0.01,146,20.9,0,40.9,3,0,3,6,,@BUF,@BUF,,@PIT,,7,0,1,1,3,15,2,16,5,0,0,0,0,11:01,00:00,0,0,0,0,4,0,0
M Murray,G,DAL,0.50,0.00,0.00,146,146.0,2,292.0,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,01:00,00:00,0,100.0,23,1,0,0,1
V Hinostroza,C,PIT,0.50,0.00,-1.77,141,10.1,0,20.1,3,1,2,15,@PHI,,@PHI,,WSH,,14,1,2,3,-3,4,27,8,7,0,0,0,0,09:45,00:57,0,0,0,0,6,0,0
J Ivany,D,PIT,0.50,0.00,0.00,141,10.1,0,20.1,3,1,2,15,@PHI,,@PHI,,WSH,,14,0,1,1,0,2,11,30,14,0,0,0,0,13:42,00:00,0,0,0,0,3,0,0
J Oesterle,D,CAL,0.50,0.00,-0.91,138,6.3,0,12.5,3,2,1,13,,@WPG,,VAN,,VAN,22,0,2,2,-6,4,18,17,33,0,0,0,0,13:31,00:00,0,0,0,0,12,0,0
A Czarnik,C,DET,0.50,0.00,0.00,137,4.0,0,8.1,3,3,0,11,,CAR,,CAR,,CBJ,34,0,1,1,-3,12,24,13,16,0,0,0,0,08:26,00:04,0,0,0,0,13,0,0
T Luneau,D,ANA,0.50,0.00,0.00,137,19.6,0,39.1,3,1,2,14,,@VGK,,@VGK,,MIN,7,1,2,3,1,4,11,5,4,0,0,0,0,17:52,00:09,0,0,0,0,7,0,0
N Blankenburg,D,CBJ,0.50,0.00,0.00,137,11.4,0,22.8,3,0,3,16,,@NSH,,@NSH,,@DET,12,1,0,1,1,4,10,20,15,0,0,0,0,16:13,00:00,0,0,0,0,7,0,0
C Meyer,W,CBJ,0.50,0.00,0.00,136,9.7,0,19.4,3,0,3,16,,@NSH,,@NSH,,@DET,14,1,1,2,-2,2,10,37,3,0,0,0,0,09:07,00:00,0,0,0,0,8,0,0
