Name,Pos,team,$,YDiff,Diff,FPs,Avg,#Own,FP/$,#Gm,#HG,#AG,ARnk,Wed 01/13,Thu 01/14,Fri 01/15,Sat 01/16,Sun 01/17,Mon 01/18,Gp,G,A,P,+/-,Pim,Sht,H,Blk,Gwg,Otg,Ppg,Shg,Toi,PPToi,Ga,Sv%,Sv,Win,Loss,Otl,So
N Nesterenko,C,ANA,0.50,0.00,0.00,53,17.7,0,35.3,3,1,2,14,,@VGK,,@VGK,,MIN,3,1,0,1,0,0,7,7,0,0,0,0,0,11:31,00:00,0,0,0,0,1,0,0
C Rosen,D,STL,0.50,0.00,0.00,49,8.2,0,16.3,3,1,2,9,@COL,,@COL,,,SJS,6,0,1,1,-1,2,5,2,7,0,0,0,0,12:40,00:02,0,0,0,0,3,0,0
M McLaughlin,C,BOS,0.50,0.00,0.00,49,49.0,0,98.0,3,0,3,25,,@NJD,,@NJD,,@NYI,1,1,0,1,1,0,2,4,1,0,0,0,0,12:39,00:00,0,0,0,0,1,0,0
M Kelemen,W,ARI,0.50,0.00,0.00,49,4.9,0,9.8,3,2,1,18,,SJS,,SJS,,@VGK,10,0,1,1,-2,0,5,14,3,0,0,0,0,07:41,00:00,0,0,0,0,6,0,0
H Aktell,D,WSH,0.50,0.00,0.00,47,7.8,0,15.7,3,0,3,6,,@BUF,@BUF,,@PIT,,6,0,1,1,-2,2,5,8,5,0,0,0,0,10:38,00:00,0,0,0,0,1,0,0
J Studnicka,C,SJS,0.50,0.00,-0.31,47,2.1,0,4.3,3,0,3,13,,@ARI,,@ARI,,@STL,22,1,0,1,-12,6,20,31,11,0,0,0,0,11:27,00:07,0,0,0,0,16,0,0
N Knyzhov,D,SJS,0.50,0.00,-1.02,47,4.7,0,9.4,3,0,3,13,,@ARI,,@ARI,,@STL,10,0,1,1,-6,6,6,9,17,0,0,0,0,17:39,00:40,0,0,0,0,9,0,0
L Cormier,D,VGK,0.50,0.00,0.00,47,23.5,0,47.0,3,3,0,15,,ANA,,ANA,,ARI,2,0,1,1,1,0,3,1,2,0,0,0,0,17:17,03:06,0,0,0,0,1,0,0
B Seney,W,CHI,0.50,0.00,0.00,46,11.5,0,23.0,3,0,3,14,@TBL,,@TBL,,@FLA,,4,0,0,0,0,6,1,7,6,0,0,0,0,10:21,00:03,0,0,0,0,3,0,0
M MacEachern,W,STL,0.50,0.00,-0.92,45,5.6,0,11.3,3,1,2,9,@COL,,@COL,,,SJS,8,0,1,1,-1,0,4,9,2,0,0,0,0,07:52,00:01,0,0,0,0,3,0,0
L Mailloux,D,MTL,0.51,0.00,0.01,43,43.0,0,84.3,3,0,3,10,@TOR,,,@EDM,,@EDM,1,0,1,1,1,0,2,1,1,0,0,0,0,21:14,00:00,0,0,0,0,0,0,0
G Romanov,G,SJS,0.52,0.00,0.00,43,21.5,0,41.3,3,0,3,13,,@ARI,,@ARI,,@STL,2,0,0,0,0,0,0,0,0,0,0,0,0,29:38,00:00,1,96.7,29,0,2,0,0
P Regenda,W,ANA,0.50,0.00,0.00,42,8.4,0,16.8,3,1,2,14,,@VGK,,@VGK,,MIN,5,0,0,0,-1,2,7,11,5,0,0,0,0,11:34,00:00,0,0,0,0,4,0,0
P Koch,D,ARI,0.50,0.00,0.00,42,42.0,0,84.0,3,2,1,18,,SJS,,SJS,,@VGK,1,0,0,0,0,10,1,4,1,0,0,0,0,09:20,00:00,0,0,0,0,1,0,0
C Gauthier,W,ANA,0.55,0.00,0.00,41,41.0,0,74.5,3,1,2,14,,@VGK,,@VGK,,MIN,1,0,1,1,1,0,3,0,0,0,0,0,0,15:24,00:00,0,0,0,0,0,0,0
B Lambert,C,WPG,0.55,0.00,0.00,41,41.0,0,74.5,2,1,1,15,,CAL,,,,@TOR,1,0,1,1,1,0,2,0,1,0,0,0,0,13:51,00:00,0,0,0,0,0,0,0
N Backstrom,C,WSH,0.50,0.00,-3.74,39,4.9,3,9.8,3,0,3,6,,@BUF,@BUF,,@PIT,,8,0,1,1,-3,2,12,2,5,0,0,0,0,14:34,02:10,0,0,0,0,3,0,0
J Foudy,C,COL,0.50,0.00,0.00,39,9.8,0,19.5,2,2,0,11,STL,,STL,,,,4,1,0,1,1,0,2,0,0,0,0,0,0,06:26,00:00,0,0,0,0,1,0,0
L Belluz,C,CBJ,0.50,0.00,0.00,39,39.0,0,78.0,3,0,3,16,,@NSH,,@NSH,,@DET,1,1,0,1,1,0,2,0,0,0,0,0,0,09:35,00:00,0,0,0,0,0,0,0
Z Ostapchuk,C,OTT,0.50,0.00,0.00,38,5.4,0,10.9,2,2,0,13,,,TOR,TOR,,,7,0,0,0,-1,0,5,13,6,0,0,0,0,10:30,00:00,0,0,0,0,3,0,0
L Hutson,D,MTL,0.50,0.00,0.00,38,19.0,0,38.0,3,0,3,10,@TOR,,,@EDM,,@EDM,2,0,2,2,-2,0,3,1,0,0,0,0,0,22:43,00:00,0,0,0,0,0,0,0
K Clague,D,BUF,0.50,0.00,-0.62,37,12.3,0,24.7,3,2,1,10,,WSH,WSH,,,@PHI,3,0,1,1,0,2,2,1,0,0,0,0,0,12:16,00:00,0,0,0,0,0,0,0
J Leonard,W,ARI,0.50,0.00,-0.83,37,6.2,0,12.3,3,2,1,18,,SJS,,SJS,,@VGK,6,1,0,1,-1,0,5,1,5,0,0,0,0,06:52,00:00,0,0,0,0,3,0,0
N Foote,W,NJD,0.50,0.00,-0.42,37,9.3,1,18.5,2,2,0,2,,BOS,,BOS,,,4,1,0,1,-1,0,6,3,2,0,0,0,0,10:06,00:00,0,0,0,0,3,0,0
S Bowers,C,NJD,0.50,0.00,0.00,36,4.5,0,9.0,2,2,0,2,,BOS,,BOS,,,8,0,0,0,1,0,7,2,4,0,0,0,0,09:27,00:00,0,0,0,0,4,0,0
C Mackey,D,NYR,0.50,0.00,-0.40,35,35.0,0,70.0,2,2,0,18,,NYI,,NYI,,,1,0,0,0,1,5,1,1,3,0,0,0,0,16:27,00:05,0,0,0,0,0,0,0
R Winterton,C,SEA,0.50,0.00,0.00,34,3.8,0,7.6,0,0,0,0,,,,,,,9,0,0,0,-1,0,10,8,4,0,0,0,0,09:20,00:00,0,0,0,0,4,0,0
B Gignac,C,MTL,0.50,0.00,0.00,33,4.7,0,9.4,3,0,3,10,@TOR,,,@EDM,,@EDM,7,1,0,1,-3,0,7,5,7,0,0,0,0,11:39,00:39,0,0,0,0,5,0,0
M Guenette,D,OTT,0.50,0.00,0.00,32,4.6,0,9.1,2,2,0,13,,,TOR,TOR,,,7,0,0,0,-1,2,6,6,6,0,0,0,0,13:47,00:01,0,0,0,0,3,0,0
R Iskhakov,C,NYI,0.51,0.00,0.01,31,15.5,0,30.4,3,1,2,19,,@NYR,,@NYR,,BOS,2,0,1,1,0,0,2,0,1,0,0,0,0,10:05,00:00,0,0,0,0,0,0,0
R Hagg,D,ANA,0.50,0.00,-1.15,30,6.0,0,12.0,3,1,2,14,,@VGK,,@VGK,,MIN,5,0,0,0,-4,4,6,13,10,0,0,0,0,12:47,00:00,0,0,0,0,4,0,0
E Heineman,W,MTL,0.50,0.00,0.00,30,7.5,0,15.0,3,0,3,10,@TOR,,,@EDM,,@EDM,4,0,0,0,2,0,0,4,1,0,0,0,0,09:57,00:10,0,0,0,0,0,0,0
Z Dean,C,STL,0.50,0.00,0.00,30,3.3,0,6.7,3,1,2,9,@COL,,@COL,,,SJS,9,0,0,0,-4,6,10,11,5,0,0,0,0,10:33,00:00,0,0,0,0,1,0,0
A Raty,W,ARI,0.51,0.00,0.01,29,29.0,0,56.9,3,2,1,18,,SJS,,SJS,,@VGK,1,0,1,1,0,0,0,2,0,0,0,0,0,11:45,00:00,0,0,0,0,0,0,0
G Merkulov,C,BOS,0.50,0.00,0.00,28,7.0,0,14.0,3,0,3,25,,@NJD,,@NJD,,@NYI,4,0,0,0,1,0,3,2,4,0,0,0,0,10:35,00:21,0,0,0,0,1,0,0
M Comtois,W,CAR,0.50,0.00,-3.05,27,13.5,0,27.0,3,0,3,22,,@DET,,@DET,,@NSH,2,0,1,1,-1,0,1,3,2,0,0,0,0,09:42,00:00,0,0,0,0,1,0,0
P Myers,D,TBL,0.50,0.00,-1.23,26,5.2,0,10.4,2,2,0,26,CHI,,CHI,,,,5,0,0,0,-2,2,6,8,6,0,0,0,0,11:42,00:01,0,0,0,0,3,0,0
A Hirose,D,VAN,0.50,0.00,0.00,26,8.7,0,17.3,4,0,4,13,@EDM,@EDM,,@CAL,,@CAL,3,0,0,0,1,0,0,3,5,0,0,0,0,12:06,00:49,0,0,0,0,1,0,0
J Campbell,G,EDM,2.40,0.00,-6.79,24,4.8,2,2.0,4,4,0,13,VAN,VAN,,MTL,,MTL,5,0,0,0,0,0,0,0,0,0,0,0,0,53:21,00:00,20,87.3,137,1,4,0,0
A Raska,W,MIN,0.50,0.00,0.00,24,4.8,0,9.6,3,0,3,22,,@LAK,,@LAK,,@ANA,5,0,0,0,0,0,0,11,1,0,0,0,0,06:49,00:00,0,0,0,0,1,0,0
B Othmann,W,NYR,0.50,0.00,-0.30,24,8.0,0,16.0,2,2,0,18,,NYI,,NYI,,,3,0,0,0,0,0,6,5,1,0,0,0,0,09:05,00:00,0,0,0,0,1,0,0
V Iorio,D,WSH,0.50,0.00,0.00,24,3.4,0,6.9,3,0,3,6,,@BUF,@BUF,,@PIT,,7,0,0,0,0,0,6,3,3,0,0,0,0,08:41,00:00,0,0,0,0,2,0,0
L Condotta,C,MTL,0.50,0.00,0.00,24,8.0,0,16.0,3,0,3,10,@TOR,,,@EDM,,@EDM,3,0,0,0,1,0,2,4,1,0,0,0,0,07:30,00:00,0,0,0,0,0,0,0
A Gaudette,C,STL,0.50,0.00,-0.66,22,11.0,0,22.0,3,1,2,9,@COL,,@COL,,,SJS,2,0,0,0,0,4,0,4,1,0,0,0,0,09:48,00:00,0,0,0,0,1,0,0
G Goncalves,C,TBL,0.50,0.00,0.00,22,11.0,0,22.0,2,2,0,26,CHI,,CHI,,,,2,0,0,0,0,6,0,2,0,0,0,0,0,09:58,00:00,0,0,0,0,0,0,0
L Morrison,C,SEA,0.50,0.00,0.00,22,5.5,0,11.0,0,0,0,0,,,,,,,4,0,0,0,-1,0,6,2,8,0,0,0,0,13:08,00:00,0,0,0,0,1,0,0
N Matinpalo,D,OTT,0.50,0.00,0.00,22,5.5,0,11.0,2,2,0,13,,,TOR,TOR,,,4,0,0,0,1,0,2,2,2,0,0,0,0,07:00,00:02,0,0,0,0,2,0,0
M Hutchinson,G,DET,0.50,0.00,-3.95,21,21.0,0,42.0,3,3,0,11,,CAR,,CAR,,CBJ,1,0,0,0,0,0,0,0,0,0,0,0,0,57:48,00:00,3,91.7,33,0,1,0,0
G Hutton,D,NYI,0.50,0.00,0.00,20,10.0,0,20.0,3,1,2,19,,@NYR,,@NYR,,BOS,2,0,0,0,1,0,0,4,1,0,0,0,0,08:46,00:00,0,0,0,0,1,0,0
F Minten,C,TOR,0.50,0.00,0.00,20,5.0,0,10.0,4,2,2,24,MTL,,@OTT,@OTT,,WPG,4,0,0,0,0,2,3,3,1,0,0,0,0,11:26,00:03,0,0,0,0,2,0,0
M Subban,G,CBJ,0.50,0.00,-3.47,19,19.0,1,38.0,3,0,3,16,,@NSH,,@NSH,,@DET,1,0,0,0,0,0,0,0,0,0,0,0,0,01:00,00:00,3,91.4,32,0,1,0,0
D Pouliot,D,DAL,0.50,0.00,0.00,18,3.6,0,7.2,0,0,0,0,,,,,,,5,0,0,0,-1,0,5,4,5,0,0,0,0,12:08,00:10,0,0,0,0,2,0,0
J Koppanen,W,PIT,0.50,0.00,0.00,18,4.5,0,9.0,3,1,2,15,@PHI,,@PHI,,WSH,,4,0,0,0,0,0,4,3,2,0,0,0,0,07:49,00:03,0,0,0,0,1,0,0
C Fleury,D,SEA,0.50,0.00,0.00,18,18.0,0,36.0,0,0,0,0,,,,,,,1,0,0,0,1,0,1,3,0,0,0,0,0,13:30,00:00,0,0,0,0,0,0,0
G Denisenko,W,VGK,0.50,0.00,-1.31,18,3.0,0,6.0,3,3,0,15,,ANA,,ANA,,ARI,6,0,0,0,-3,2,5,14,2,0,0,0,0,10:51,00:28,0,0,0,0,5,0,0
L Karlsson,C,VAN,0.50,0.00,0.00,18,3.0,0,6.0,4,0,4,13,@EDM,@EDM,,@CAL,,@CAL,6,0,0,0,-1,2,4,4,3,0,0,0,0,10:04,00:45,0,0,0,0,4,0,0
R Lavoie,C,EDM,0.50,0.00,0.00,18,2.6,0,5.1,4,4,0,13,VAN,VAN,,MTL,,MTL,7,0,0,0,-2,2,4,11,1,0,0,0,0,07:17,00:00,0,0,0,0,3,0,0
S Poulin,W,PIT,0.50,0.00,0.00,18,6.0,0,12.0,3,1,2,15,@PHI,,@PHI,,WSH,,3,0,0,0,-1,2,2,5,4,0,0,0,0,07:47,00:00,0,0,0,0,0,0,0
J Sourdif,W,FLA,0.50,0.00,0.00,18,6.0,0,12.0,1,1,0,26,,,,,CHI,,3,0,0,0,0,0,2,5,2,0,0,0,0,08:50,00:00,0,0,0,0,1,0,0
R Jarventie,W,OTT,0.50,0.00,0.00,17,2.4,0,4.9,2,2,0,13,,,TOR,TOR,,,7,0,1,1,-5,4,5,4,6,0,0,0,0,07:31,00:00,0,0,0,0,3,0,0
E Afanasyev,W,NSH,0.50,0.00,0.00,16,8.0,0,16.0,3,3,0,16,,CBJ,,CBJ,,CAR,2,0,0,0,-1,0,5,6,2,0,0,0,0,13:00,00:50,0,0,0,0,2,0,0
D Carlile,D,TBL,0.50,0.00,0.00,16,16.0,0,32.0,2,2,0,26,CHI,,CHI,,,,1,0,0,0,1,0,0,1,2,0,0,0,0,11:27,00:00,0,0,0,0,0,0,0
J Dowling,C,NJD,0.50,0.00,-0.39,15,7.5,0,15.0,2,2,0,2,,BOS,,BOS,,,2,1,0,1,-2,0,3,1,1,0,0,0,0,10:32,00:00,0,0,0,0,2,0,0
J Kirkland,C,ARI,0.50,0.00,0.00,14,7.0,0,14.0,3,2,1,18,,SJS,,SJS,,@VGK,2,0,0,0,0,0,1,5,1,0,0,0,0,07:14,00:00,0,0,0,0,1,0,0
Z Aston-Reese,C,DET,0.50,0.00,-2.57,14,4.7,0,9.3,3,3,0,11,,CAR,,CAR,,CBJ,3,0,0,0,0,2,1,3,0,0,0,0,0,05:09,00:00,0,0,0,0,1,0,0
M Bourque,C,DAL,0.50,0.00,0.00,12,6.0,0,12.0,0,0,0,0,,,,,,,2,0,0,0,0,0,4,2,0,0,0,0,0,09:26,00:00,0,0,0,0,2,0,0
V Soderstrom,D,ARI,0.50,0.00,-0.67,10,3.3,0,6.7,3,2,1,18,,SJS,,SJS,,@VGK,3,0,0,0,-1,0,1,3,6,0,0,0,0,15:11,00:00,0,0,0,0,2,0,0
C Schwindt,W,CAL,0.50,0.00,0.00,10,2.5,0,5.0,3,2,1,13,,@WPG,,VAN,,VAN,4,0,0,0,-1,2,1,5,1,0,0,0,0,06:48,00:01,0,0,0,0,3,0,0
O Olausson,W,COL,0.50,0.00,0.00,10,10.0,0,20.0,2,2,0,11,STL,,STL,,,,1,0,0,0,0,0,2,1,2,0,0,0,0,11:50,00:00,0,0,0,0,0,0,0
T Bjornfot,D,FLA,0.50,0.00,-0.79,8,2.0,0,4.0,1,1,0,26,,,,,CHI,,4,0,0,0,-2,2,1,3,7,0,0,0,0,13:49,00:00,0,0,0,0,2,0,0
M Samoskevich,W,FLA,0.50,0.00,0.00,8,1.1,1,2.3,1,1,0,26,,,,,CHI,,7,0,0,0,-3,0,11,5,3,0,0,0,0,12:02,00:39,0,0,0,0,2,0,0
B Halonen,W,NJD,0.50,0.00,0.00,8,4.0,0,8.0,2,2,0,2,,BOS,,BOS,,,2,0,0,0,0,0,2,2,0,0,0,0,0,08:17,00:00,0,0,0,0,1,0,0
G Gawdin,C,ANA,0.50,0.00,-0.13,6,6.0,0,12.0,3,1,2,14,,@VGK,,@VGK,,MIN,1,0,0,0,-1,2,0,4,1,0,0,0,0,07:35,00:00,0,0,0,0,0,0,0
S Laberge,W,NJD,0.50,0.00,0.00,6,3.0,0,6.0,2,2,0,2,,BOS,,BOS,,,2,0,0,0,0,0,0,3,0,0,0,0,0,03:06,00:04,0,0,0,0,1,0,0
B Murray,W,BUF,0.50,0.00,-0.16,6,3.0,0,6.0,3,2,1,10,,WSH,WSH,,,@PHI,2,0,0,0,-1,2,1,4,0,0,0,0,0,07:58,00:03,0,0,0,0,0,0,0
M Studenic,W,SEA,0.50,0.00,-0.47,6,3.0,0,6.0,0,0,0,0,,,,,,,2,0,0,0,-1,2,1,4,0,0,0,0,0,08:07,00:04,0,0,0,0,1,0,0
E Andrae,D,PHI,0.50,0.00,0.00,6,1.5,0,3.0,3,3,0,10,PIT,,PIT,,,BUF,4,0,0,0,-1,0,0,2,6,0,0,0,0,13:00,00:04,0,0,0,0,2,0,0
G Olofsson,D,SEA,0.50,0.00,0.00,6,6.0,0,12.0,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,3,0,0,0,0,14:57,00:00,0,0,0,0,0,0,0
J Khaira,W,MIN,0.50,0.00,-2.62,4,4.0,0,8.0,3,0,3,22,,@LAK,,@LAK,,@ANA,1,0,0,0,0,0,1,0,1,0,0,0,0,08:05,00:00,0,0,0,0,1,0,0
R Gardner,C,PHI,0.50,0.00,-0.17,4,4.0,0,8.0,3,3,0,10,PIT,,PIT,,,BUF,1,0,0,0,0,0,0,1,1,0,0,0,0,07:28,00:00,0,0,0,0,0,0,0
K Lind,W,SEA,0.50,0.00,0.00,4,4.0,0,8.0,0,0,0,0,,,,,,,1,0,0,0,0,0,0,2,0,0,0,0,0,05:59,00:00,0,0,0,0,0,0,0
A Steeves,C,TOR,0.50,0.00,0.00,4,4.0,0,8.0,4,2,2,24,MTL,,@OTT,@OTT,,WPG,1,0,0,0,-1,0,1,6,0,0,0,0,0,10:14,00:54,0,0,0,0,0,0,0
E Mastro,D,CHI,0.50,0.00,0.00,4,2.0,0,4.0,3,0,3,14,@TBL,,@TBL,,@FLA,,2,0,0,0,0,0,0,2,0,0,0,0,0,18:35,00:00,0,0,0,0,2,0,0
M Szuber,D,ARI,0.50,0.00,0.00,4,4.0,0,8.0,3,2,1,18,,SJS,,SJS,,@VGK,1,0,0,0,-1,2,1,2,1,0,0,0,0,16:59,00:00,0,0,0,0,1,0,0
R Nash,C,NYR,0.50,0.00,-0.86,2,2.0,0,4.0,2,2,0,18,,NYI,,NYI,,,1,0,0,0,0,0,1,0,0,0,0,0,0,11:05,00:00,0,0,0,0,1,0,0
V Mete,D,PHI,0.50,0.00,-1.07,2,2.0,0,4.0,3,3,0,10,PIT,,PIT,,,BUF,1,0,0,0,0,0,0,0,1,0,0,0,0,10:52,00:00,0,0,0,0,0,0,0
C Crotty,D,ARI,0.50,0.00,0.00,2,2.0,0,4.0,3,2,1,18,,SJS,,SJS,,@VGK,1,0,0,0,-1,0,0,4,2,0,0,0,0,10:03,00:00,0,0,0,0,1,0,0
J Peterson,C,SJS,0.50,0.00,0.00,2,0.3,0,0.7,3,0,3,13,,@ARI,,@ARI,,@STL,6,0,0,0,-3,2,3,5,5,0,0,0,0,13:15,00:29,0,0,0,0,5,0,0
N Kovalenko,W,COL,0.50,0.00,0.00,2,1.0,0,2.0,2,2,0,11,STL,,STL,,,,2,0,0,0,-1,0,1,5,0,0,0,0,0,06:48,00:00,0,0,0,0,0,0,0
G Clarke,W,NJD,0.50,0.00,0.00,2,0.7,0,1.3,2,2,0,2,,BOS,,BOS,,,3,0,0,0,-2,2,2,6,0,0,0,0,0,11:23,00:00,0,0,0,0,2,0,0
T Angle,C,CBJ,0.50,0.00,0.00,2,1.0,0,2.0,3,0,3,16,,@NSH,,@NSH,,@DET,2,0,0,0,-1,0,0,5,1,0,0,0,0,08:20,00:00,0,0,0,0,2,0,0
J Thompson,D,SJS,0.50,0.00,0.00,2,0.7,0,1.3,3,0,3,13,,@ARI,,@ARI,,@STL,3,0,0,0,-2,0,4,4,3,0,0,0,0,15:40,00:00,0,0,0,0,3,0,0
B Scanlin,D,NYR,0.50,0.00,0.00,2,2.0,0,4.0,2,2,0,18,,NYI,,NYI,,,1,0,0,0,0,0,0,1,0,0,0,0,0,10:46,00:00,0,0,0,0,0,0,0
O Pavel,C,COL,0.50,0.00,0.00,2,1.0,0,2.0,2,2,0,11,STL,,STL,,,,2,0,0,0,-1,2,3,0,0,0,0,0,0,06:06,00:00,0,0,0,0,0,0,0
C McWard,D,VAN,0.50,0.00,0.00,2,2.0,0,4.0,4,0,4,13,@EDM,@EDM,,@CAL,,@CAL,1,0,0,0,0,0,1,0,0,0,0,0,0,09:05,00:00,0,0,0,0,0,0,0
Y Perets,G,CAR,0.50,0.00,0.00,2,2.0,0,4.0,3,0,3,22,,@DET,,@DET,,@NSH,1,0,0,0,0,0,0,0,0,0,0,0,0,12:46,00:00,0,100.0,1,0,1,0,0
M McCormick,W,SEA,0.50,0.00,-0.87,0,0.0,0,0.0,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,05:38,00:00,0,0,0,0,1,0,0
J Megna,C,BOS,0.50,0.00,-0.98,0,0.0,0,0.0,3,0,3,25,,@NJD,,@NJD,,@NYI,1,0,0,0,0,0,0,0,0,0,0,0,0,11:45,00:00,0,0,0,0,1,0,0
A Blidh,W,NYR,0.50,0.00,-0.23,0,0.0,0,0.0,2,2,0,18,,NYI,,NYI,,,1,0,0,0,-1,2,1,1,0,0,0,0,0,05:21,00:00,0,0,0,0,1,0,0
P Kemp,D,EDM,0.50,0.00,0.00,0,0.0,0,0.0,4,4,0,13,VAN,VAN,,MTL,,MTL,1,0,0,0,0,0,0,0,0,0,0,0,0,02:03,00:00,0,0,0,0,0,0,0
C Butler,W,CBJ,0.50,0.00,0.00,0,0.0,0,0.0,3,0,3,16,,@NSH,,@NSH,,@DET,1,0,0,0,0,0,0,0,0,0,0,0,0,54,00:00,0,0,0,0,0,0,0
M Savoie,C,BUF,0.50,0.00,0.00,0,0.0,0,0.0,3,2,1,10,,WSH,WSH,,,@PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,03:55,00:00,0,0,0,0,0,0,0
G Brindley,C,CBJ,0.50,0.00,0.00,0,0.0,0,0.0,3,0,3,16,,@NSH,,@NSH,,@DET,1,0,0,0,0,0,0,0,0,0,0,0,0,12:20,00:00,0,0,0,0,0,0,0
J Hayden,C,SEA,0.50,0.00,-1.52,0,0.0,0,0.0,0,0,0,0,,,,,,,2,0,0,0,-1,0,1,3,1,0,0,0,0,06:44,00:00,0,0,0,0,2,0,0
M Sogaard,G,OTT,0.50,0.00,0.00,-3,-0.5,1,-1.0,2,2,0,13,,,TOR,TOR,,,6,0,0,0,0,0,0,0,0,0,0,0,0,46:56,00:00,19,85.9,116,1,4,0,0
Y Kuznetsov,D,CAL,0.50,0.00,0.00,-4,-4.0,0,-8.0,3,2,1,13,,@WPG,,VAN,,VAN,1,0,0,0,-1,0,2,0,1,0,0,0,0,11:58,00:00,0,0,0,0,0,0,0
O Lindblom,W,SJS,0.50,0.00,-0.91,-6,-6.0,0,-12.0,3,0,3,13,,@ARI,,@ARI,,@STL,1,0,0,0,-1,0,0,1,1,0,0,0,0,11:56,00:00,0,0,0,0,1,0,0
D Coghlan,D,CAR,0.50,0.00,-0.80,-6,-6.0,0,-12.0,3,0,3,22,,@DET,,@DET,,@NSH,1,0,0,0,-2,0,3,1,3,0,0,0,0,17:59,00:00,0,0,0,0,1,0,0
A Bains,W,VAN,0.50,0.00,0.00,-6,-0.8,0,-1.5,4,0,4,13,@EDM,@EDM,,@CAL,,@CAL,8,0,0,0,-5,6,4,7,2,0,0,0,0,11:48,00:00,0,0,0,0,5,0,0
J Leschyshyn,C,NYR,0.50,0.00,0.00,-8,-8.0,0,-16.0,2,2,0,18,,NYI,,NYI,,,1,0,0,0,-1,0,0,0,1,0,0,0,0,06:28,00:00,0,0,0,0,1,0,0
J Snively,C,WSH,0.50,0.00,0.00,-8,-2.7,0,-5.3,3,0,3,6,,@BUF,@BUF,,@PIT,,3,0,0,0,-1,0,0,1,0,0,0,0,0,08:21,00:06,0,0,0,0,1,0,0
J Kulich,C,BUF,0.50,0.00,0.00,-8,-8.0,0,-16.0,3,2,1,10,,WSH,WSH,,,@PHI,1,0,0,0,-1,0,1,0,0,0,0,0,0,14:53,00:00,0,0,0,0,1,0,0
F Nazar,C,CHI,0.50,0.00,0.00,-9,-3.0,0,-6.0,3,0,3,14,@TBL,,@TBL,,@FLA,,3,1,0,1,-4,0,2,0,1,0,0,0,0,16:09,00:00,0,0,0,0,2,0,0
I Rosen,W,BUF,0.50,0.00,-0.10,-10,-1.4,0,-2.9,3,2,1,10,,WSH,WSH,,,@PHI,7,0,0,0,-3,0,8,0,2,0,0,0,0,08:35,00:01,0,0,0,0,4,0,0
A Poturalski,C,SEA,0.50,0.00,0.00,-10,-5.0,0,-10.0,0,0,0,0,,,,,,,2,0,0,0,-1,0,0,0,0,0,0,0,0,06:53,00:28,0,0,0,0,1,0,0
R Pitlick,C,CHI,0.50,0.00,-0.73,-12,-1.3,0,-2.7,3,0,3,14,@TBL,,@TBL,,@FLA,,9,0,0,0,-7,2,13,7,6,0,0,0,0,15:35,02:39,0,0,0,0,6,0,0
S Morrow,D,CAR,0.50,0.00,0.00,-12,-6.0,0,-12.0,3,0,3,22,,@DET,,@DET,,@NSH,2,0,0,0,-3,0,6,1,2,0,0,0,0,18:23,00:00,0,0,0,0,1,0,0
J Blake,W,CAR,0.50,0.00,0.00,-16,-16.0,0,-32.0,3,0,3,22,,@DET,,@DET,,@NSH,1,0,0,0,-2,0,2,0,0,0,0,0,0,15:18,00:00,0,0,0,0,1,0,0
K Appleby,G,NYI,0.50,0.00,0.00,-18,-18.0,0,-36.0,3,1,2,19,,@NYR,,@NYR,,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,20:00,00:00,2,75.0,6,0,1,0,0
S Walker,C,MIN,0.50,0.00,0.00,-18,-4.5,0,-9.0,3,0,3,22,,@LAK,,@LAK,,@ANA,4,0,0,0,-3,0,3,2,1,0,0,0,0,09:22,00:03,0,0,0,0,3,0,0
F Roos,D,CHI,0.50,0.00,0.00,-18,-4.5,0,-9.0,3,0,3,14,@TBL,,@TBL,,@FLA,,4,0,0,0,-4,0,2,7,2,0,0,0,0,14:44,01:09,0,0,0,0,3,0,0
B Nadeau,W,CAR,0.50,0.00,0.00,-22,-22.0,0,-44.0,3,0,3,22,,@DET,,@DET,,@NSH,1,0,0,0,-3,0,3,0,1,0,0,0,0,19:08,00:00,0,0,0,0,1,0,0
H McGing,W,STL,0.50,0.00,0.00,-24,-4.8,0,-9.6,3,1,2,9,@COL,,@COL,,,SJS,5,0,0,0,-5,0,4,6,3,0,0,0,0,08:23,00:08,0,0,0,0,3,0,0
M Villalta,G,ARI,0.50,0.00,0.00,-27,-13.5,0,-27.0,3,2,1,18,,SJS,,SJS,,@VGK,2,0,0,0,0,0,0,0,0,0,0,0,0,35:59,00:00,5,82.8,24,0,2,0,0
M Chrona,G,SJS,0.50,0.00,0.00,-30,-3.3,0,-6.7,3,0,3,13,,@ARI,,@ARI,,@STL,9,0,0,0,0,0,0,0,0,0,0,0,0,52:22,00:00,37,85.9,225,1,7,1,0
I Fedotov,G,PHI,0.50,0.00,0.00,-39,-13.0,1,-26.0,3,3,0,10,PIT,,PIT,,,BUF,3,0,0,0,0,0,0,0,0,0,0,0,0,40:23,00:00,10,81.1,43,0,2,1,0
F Sandstrom,G,PHI,0.50,0.00,0.00,-47,-9.4,0,-18.8,3,3,0,10,PIT,,PIT,,,BUF,5,0,0,0,0,0,0,0,0,0,0,0,0,52:42,00:00,17,82.3,79,1,4,0,0
