id,ids,name,surname,position,team,price,active,assists,average,blocks,datum,diff,domaci,fletter,ga,goals,gwg,gwin,ha,hits,icetime,id_day,id_muzstvo,injured,last_points,ldesc,locked,loss,matches,note,otg,otl,owned,permil,plusminus,pm,points,ppg,pptime,pts,saves,sdiff,shg,shots,so,sog,spct,status,zaciatok,zmena
8485207,,Vincent Desjardins,Desjardins,C,COL,500000,1,,,,,0,,V,,,,,0,,,0,37,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8471956,,Andrew Desjardins,Desjardins,W,CHI,500000,0,,,,,0,,A,,,,,0,,,0,36,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8473638,,Cedrick Desjardins,Desjardins,G,NYR,500000,0,,,,,0,,C,,,,,0,,,0,47,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8480084,,Nick DeSimone,DeSimone,D,UTA,1760000,1,5,14.300000,10,,0,,N,0,1,0,0,0,14,15:35,0,64,0,0,,0,5,20,,0,0,0,,4,0,286.00,0,00:00,6,0,1260000,0,24,0,,,,,
8479576,,Vincent Desharnais,Desharnais,D,SJS,1290000,1,3,9.764706,74,,0,,V,0,0,0,0,0,87,15:55,0,54,0,0,,0,19,51,,0,0,0,,-9,45,498.00,0,00:00,3,0,790000,0,28,0,,,,,
8471976,,David Desharnais,Desharnais,C,NYR,500000,0,,,,,0,,D,,,,,0,,,0,47,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8478053,,Jaedon Descheneau,Descheneau,W,STL,500000,0,,,,,0,,J,,,,,0,,,0,55,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8485430,,Kieren Dervin,Dervin,C,VAN,500000,1,,,,,0,,K,,,,,0,,,0,58,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8478408,,Travis Dermott,Dermott,D,MIN,500000,1,0,1.894737,16,,0,,T,0,0,0,0,0,6,12:16,0,44,0,0,,0,7,19,,0,0,0,,-3,2,36.00,0,00:00,0,0,-650000,0,8,0,,,,,
8478494,,Alexander Dergachyov,Dergachyov,C,LAK,500000,1,,,,,0,,A,,,,,0,,,0,43,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8480977,,Semyon Der-Arguchintsev,Der-Arguchintsev,C,TOR,500000,1,,,,,0,,S,,,,,0,,,0,57,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8468629,,Denis Denisov,Denisov,W,BUF,500000,0,,,,,0,,D,,,,,0,,,0,33,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8480844,,Grigori Denisenko,Denisenko,W,VGK,850000,1,0,16.000000,0,,0,,G,0,0,0,0,0,5,08:27,0,62,0,0,,0,0,1,,0,0,0,,0,2,16.00,0,00:00,0,0,-960000,0,0,0,,,,,
8481734,,Maxim Denezhkin,Denezhkin,C,EDM,500000,1,,,,,0,,M,,,,,0,,,0,41,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8477350,,Mitchell Dempsey,Dempsey,W,BOS,500000,0,,,,,0,,M,,,,,0,,,0,32,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
